Annee,FORMATION,DATE_DEB_CONTRAT,DATE_FIN_CONTRAT,NOM_ENTREPRISE,CP_ENTREPRISE,FORME_JURIDIQUE_ENTREPRISE,VILLE_ENTREPRISE,Lat,Long,FORMATION_COMPLET,Type
2016-2017,M IDS PIDT 2A,13/09/2016,31/08/2017,MAIRIE DE TOULOUSE,31000,Commune et Commune Nouvelle,TOULOUSE,"43,59638143","1,431672934",M2 Intervention et développement social parcours PIDT,Public
2016-2017,M IDS PIDT 2A,03/10/2016,30/09/2017,DDT 84 VAUCLUSE,84000,Administration d'Etat,AVIGNON,"43,93524483","4,840715725",M2 Intervention et développement social parcours PIDT,Public
2016-2018,M MISRH 1A,26/09/2016,05/10/2018,SAS URBANIS,30900,SAS,NIMES,"43,84493839","4,34806797",M2 Gestion des Ressources Humaines parcours Management international et RH,Privé
2016-2018,M MISRH 1A,29/08/2016,05/10/2018,EDF CNPE TRICASTIN,26130,SA,ST PAUL TROIS CHATEAUX,"44,37762309","4,806249456",M2 Gestion des Ressources Humaines parcours Management international et RH,Privé
2016-2018,M MISRH 1A,01/09/2016,05/10/2018,COMMUNE DE LE GRAU DU ROI,30240,Administration d'Etat,LE GRAU DU ROI,"43,50728109","4,166229487",M2 Gestion des Ressources Humaines parcours Management international et RH,Public
2016-2018,M MISRH 1A,01/07/2016,05/10/2018,TML EXPERTS CONSEILS,30900,SARL,NIMES,"43,84493839","4,34806797",M2 Gestion des Ressources Humaines parcours Management international et RH,Privé
2016-2018,M MISRH 1A,12/09/2016,05/10/2018,EDF-CNPE CRUAS-MEYSSE,7350,SA,CRUAS,"44,65664209","4,756588244",M2 Gestion des Ressources Humaines parcours Management international et RH,Privé
2016-2018,M MISRH 1A,12/09/2016,05/10/2018,EDF-CNPE CRUAS-MEYSSE,7350,SA,CRUAS,"44,65664209","4,756588244",M2 Gestion des Ressources Humaines parcours Management international et RH,Privé
2016-2018,M MISRH 1A,01/09/2016,05/10/2018,COLAS MM,34430,,SAINT JEAN DE VEDAS,"43,57162823","3,83221848",M2 Gestion des Ressources Humaines parcours Management international et RH, 
2015-2017,M MISRH 2A,28/09/2015,30/09/2017,LA POSTE,78180,,MONTIGNY LE BRETONNEUX,"48,77965878","2,029521945",M1 Gestion des Ressources Humaines parcours Management international et RH, 
2015-2017,M MISRH 2A,14/09/2015,30/09/2017,TAM,34075,SA ,MONTPELLIER,"43,33115899","2,70406695",M1 Gestion des Ressources Humaines parcours Management international et RH, 
2015-2017,M MISRH 2A,01/09/2015,30/09/2017,BANQUE POPULAIRE DU SUD,66000,,PERPIGNAN,"42,69659541","2,89936954",M1 Gestion des Ressources Humaines parcours Management international et RH, 
2015-2017,M MISRH 2A,01/09/2015,30/09/2017,SNCF RESEAU,34070,SA,MONTPELLIER,"43,61344091","3,868516579",M1 Gestion des Ressources Humaines parcours Management international et RH,Privé
2016-2017,M MISRH 2A,15/10/2016,29/09/2017,RENAULT SAS,94600,SAS,CHOISY LE ROI,"48,76431512","2,417425182",M1 Gestion des Ressources Humaines parcours Management international et RH,Privé
2015-2017,M MISRH 2A,26/10/2015,30/09/2017,NESTLE WATERS SUPPLY SUD,30310,SAS,VERGEZE,"43,73753604","4,233609905",M1 Gestion des Ressources Humaines parcours Management international et RH,Privé
2015-2017,M MISRH 2A,14/09/2015,30/09/2017,EDF - CNPE DE GOLFECH,82401,SA,VALENCE D'AGEN CEDEX,#N/A,#N/A,M1 Gestion des Ressources Humaines parcours Management international et RH,Privé
2016-2017,M MISRH 2A,01/09/2016,30/09/2017,EDF-CNPE CRUAS-MEYSSE,7350,SA,CRUAS,"44,65664209","4,756588244",M1 Gestion des Ressources Humaines parcours Management international et RH,Privé
2016-2017,M MISRH 2A,19/09/2016,29/09/2017,POINT P MBM,,SAS,,#N/A,#N/A,M1 Gestion des Ressources Humaines parcours Management international et RH,Privé
2016-2017,M MISRH 2A,22/08/2016,29/09/2017,LA POSTE DSI BSCC,34070,SA CA,MONTPELLIER,"43,61344091","3,868516579",M1 Gestion des Ressources Humaines parcours Management international et RH,Privé
2015-2017,M MISRH 2A,02/11/2015,30/09/2017,SHERPAS,13013,,MARSEILLE,"43,349278","5,433722387",M1 Gestion des Ressources Humaines parcours Management international et RH, 
2016-2017,M2 CNO,01/09/2016,30/09/2017,CC LA DOMITIENNE,34370,Fonction publique territoriale,MAUREILHAN,"43,39763101","3,099684083",M2 Information-Communication parcours Communication numérique et organisations, 
2016-2017,M2 CNO,01/09/2016,29/09/2017,ENEDIS,34070,ERL,MONTPELLIER,"43,61344091","3,868516579",M2 Information-Communication parcours Communication numérique et organisations, 
2016-2017,M2 CNO,01/09/2016,29/09/2017,RECTORAT DE MONTPELLIER,34000,Administration d'Etat,MONTPELLIER,"43,61344091","3,868516579",M2 Information-Communication parcours Communication numérique et organisations,Public
2016-2017,M2 CNO,11/07/2016,29/09/2017,VALÉRO FRANCE,34501,,Béziers cedex,#N/A,#N/A,M2 Information-Communication parcours Communication numérique et organisations, 
2016-2017,M2 CNO,01/08/2016,30/09/2017,CREDIT AGRICOLE SUD MEDITERRANEE,66100,SA CA,PERPIGNAN,"42,69659541","2,89936954",M2 Information-Communication parcours Communication numérique et organisations,Privé
2016-2017,M2 CNO,01/09/2016,30/09/2017,AIRBUS CORPORATE JET CENTRE,31060,,TOULOUSE,"43,43958446","1,831645561",M2 Information-Communication parcours Communication numérique et organisations, 
2016-2017,M2 CNO,19/09/2016,30/09/2017,ECOLE DES MINES D'ALES,30100,,ALES,"44,12500991","4,088285013",M2 Information-Communication parcours Communication numérique et organisations, 
2016-2017,M2 COMPAC,01/10/2016,30/09/2017,PREFECTURE DES PYRENEES ORIENTALES,66100,Administration d'Etat,PERPIGNAN,"42,69659541","2,89936954","M2 Information-Communication parcours Communication publique, associative et culturelle",Public
2016-2017,M2 COMPAC,17/10/2016,16/10/2017,UNIVERSITE PAUL VALERY MONTPELLIER 3,34199,Administration d'Etat,MONTPELLIER CEDEX 5,"43,46299017","3,416516521","M2 Information-Communication parcours Communication publique, associative et culturelle",Public
2016-2017,M2 COMPAC,15/09/2016,29/09/2017,ORANGE,34000,SA,MONTPELLIER,"43,61344091","3,868516579","M2 Information-Communication parcours Communication publique, associative et culturelle",Privé
2016-2017,M2 COMPAC,01/09/2016,29/09/2017,PREFECTURE DE L'HERAULT,34070,Administration d'Etat,MONTPELLIER,"43,61344091","3,868516579","M2 Information-Communication parcours Communication publique, associative et culturelle",Public
2016-2017,M2 CPO,01/09/2016,29/09/2017,DOMES PHARMA,63430,,PONT DU CHATEAU,"45,82982751","3,260552812",M2 Information-Communication parcours changement organisationnel et personnel , 
2016-2017,M2 PTO,25/07/2016,25/11/2017,LA POSTE CENTRE FINANCIER,34000,SA CA,MONTPELLIER,"43,61344091","3,868516579",M2 Psychologie sociale du travail et des organisations ,Privé
2016-2017,M2 PTO,10/10/2016,09/10/2017,IVECO FRANCE,7104,,ANNONAY CEDEX,"44,78831372","4,455705992",M2 Psychologie sociale du travail et des organisations , 
2016-2017,M2 PTO,24/10/2016,23/10/2017,SAS LE PETITES CANAILLES,92200,SAS,NEUILLY SUR SEINE,"48,88537197","2,266425847",M2 Psychologie sociale du travail et des organisations ,Privé
2016-2017,M2 PTO,05/12/2016,30/09/2017,CENTRE HOSPITALIER DE MENDE,48000,Administration d'Etat,MENDE,"44,53990342","3,554042836",M2 Psychologie sociale du travail et des organisations ,Public
2016-2017,M2 PTO,23/12/2016,22/12/2017,CDG 34,34184,Administration d'Etat,MONTPELLIER,"43,51371421","3,419564254",M2 Psychologie sociale du travail et des organisations ,Public
2016-2017,M2 PTO,14/09/2016,30/09/2017,EI GROUPE,34000,SAS,MONTPELLIER,"43,61344091","3,868516579",M2 Psychologie sociale du travail et des organisations ,Privé
2016-2017,M2 PTO,05/09/2016,24/11/2017,LA POSTE CENTRE FINANCIER,34000,SA CA,MONTPELLIER,"43,61344091","3,868516579",M2 Psychologie sociale du travail et des organisations ,Privé
2017-2018,LP RDN,28/08/2017,31/07/2018,LANGUEDOC ROUSSILLON LIVRE ET LECTURE,34090,Association,MONTPELLIER,"43,61344091","3,868516579",Licence professionnelle RDN,Association
2017-2019,M IDS ESSAP 1A,02/10/2017,30/09/2019,CENTRE SOCIAL SOLEIL SAINT BLAISE,75020,Association,PARIS 20E,"48,86318678","2,400819827",M1 Intervention et développement social parcours ESSAP,Association
2017-2019,M IDS ESSAP 1A,01/12/2017,30/09/2019,DISP TOULOUSE SUD,31015,Administration d'Etat,TOULOUSE CEDEX 6,"42,89243792","0,7155166244",M1 Intervention et développement social parcours ESSAP,Public
2017-2019,M IDS ESSAP 1A,01/12/2017,30/09/2019,DISP TOULOUSE SUD,31015,Administration d'Etat,TOULOUSE CEDEX 6,"42,89243792","0,7155166244",M1 Intervention et développement social parcours ESSAP,Public
2017-2018,M IDS ESSAP 2A,01/11/2017,30/09/2018,DEPARTEMENT DU GARD,30900,Administration Publique Générale,NIMES,"43,84493839","4,34806797",M2 Intervention et développement social parcours ESSAP,Public
2017-2019,M IDS PIDT 1A,28/08/2017,31/08/2019,RESEDA,30100,Association,ALES,"44,12500991","4,088285013",M1 Intervention et développement social parcours PIDT,Association
2017-2019,M IDS PIDT 1A,04/09/2017,27/09/2019,CENTRE SOCIAL ET CULTUREL DANUBE,75019,SARL,PARIS 19E,"48,88686862","2,384694328",M1 Intervention et développement social parcours PIDT,Privé
2017-2019,M IDS PIDT 1A,01/10/2017,30/09/2019,CONSEIL DEPARTEMENTAL DE L'HERAULT,34070,Collectivité Territoriale,MONTPELLIER,"43,61344091","3,868516579",M1 Intervention et développement social parcours PIDT,Public
2017-2018,M IDS PIDT 2A,16/10/2017,15/10/2018,COMMUNAUTE D'AGGLO ALBIGEOIS,81160,Fonction publique territoriale,SAINT JUERY,"43,96388155","2,225870136",M2 Intervention et développement social parcours PIDT, 
2016-2018,M IDS PIDT 2A,01/12/2016,30/09/2018,DISP TOULOUSE SUD,31015,Administration d'Etat,TOULOUSE CEDEX 6,"42,89243792","0,7155166244",M2 Intervention et développement social parcours PIDT,Public
2017-2019,M MIASHS 1A,01/10/2017,30/09/2019,CONSEIL DEPARTEMENTAL DE L'HERAULT,34070,Collectivité Territoriale,MONTPELLIER,"43,61344091","3,868516579",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Public
2017-2019,M MIASHS 1A,04/09/2017,30/08/2019,SNCF MOBILITES,92000, ,NANTERRE,"48,89607013","2,206713464",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales, 
2017-2019,M MIASHS 1A,09/10/2017,31/08/2019,LABORATOIRE CHAUVIN,34070,SAS,MONTPELLIER,"43,61344091","3,868516579",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2018-2019,M MIASHS 1A,02/01/2018,31/08/2019,POLE EMPLOI-DIRECTION DES SYSTÈMES D',34170,EPA,CASTELNAU LE LEZ,"43,63802188","3,91265416",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Public
2017-2019,M MIASHS 1A,06/09/2017,30/08/2019,ORANGE,34070,SA,MONTPELLIER,"43,61344091","3,868516579",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2017-2019,M MIASHS 1A,04/09/2017,30/08/2019,SANOFI AVENTIS RECHERCHE DEVELOPPEMENT,34070,SA,MONTPELLIER,"43,61344091","3,868516579",M1 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2017-2018,M MIASHS 2A,04/09/2017,31/08/2018,SEENOVATE,75017,SAS,PARIS 17E,"48,88733717","2,307485559",M2 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2017-2018,M MIASHS 2A,25/09/2017,31/08/2018,SNCF,34000, ,MONTPELLIER,"43,61344091","3,868516579",M2 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales, 
2017-2018,M MIASHS 2A,04/09/2017,31/08/2018,SEENOVATE,75017,SAS,PARIS 17E,"48,88733717","2,307485559",M2 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Privé
2017-2018,M MIASHS 2A,01/09/2017,31/08/2018,AUDRNA,30023,Association,Nîmes cedex 1,"43,79143612","4,12868797",M2 Mathématiques et Informatique appliquées aux Sciences Humaines et Sociales,Association
2017-2019,M MISRH 1A,20/11/2017,19/11/2019,POLE EMPLOI-DIRECTION DES SYSTÈMES D',34170,EPA,CASTELNAU LE LEZ,"43,63802188","3,91265416",M2 Gestion des Ressources Humaines parcours Management international et RH,Public
2017-2018,M MISRH 1A,01/10/2017,30/09/2018,CONSEIL DEPARTEMENTAL DE L'HERAULT,34070,Collectivité Territoriale,MONTPELLIER,"43,61344091","3,868516579",M2 Gestion des Ressources Humaines parcours Management international et RH,Public
2017-2019,M MISRH 1A,04/09/2017,04/10/2019,ENEDIS,34070,ERL,MONTPELLIER,"43,61344091","3,868516579",M2 Gestion des Ressources Humaines parcours Management international et RH, 
2017-2019,M MISRH 1A,04/09/2017,30/09/2019,EDF CNPE DE CRUAS,7350,SA CA,CRUAS,"44,65664209","4,756588244",M2 Gestion des Ressources Humaines parcours Management international et RH,Privé
2017-2019,M MISRH 1A,01/09/2017,30/09/2019,COMMUNAUTÉ D'AGGLOMÉRATION DE NÎMES,30900,Administration d'Etat,NIMES,"43,84493839","4,34806797",M2 Gestion des Ressources Humaines parcours Management international et RH,Public
2017-2019,M MISRH 1A,26/09/2017,30/09/2019,EDF CNPE DE CRUAS,7350,SA CA,CRUAS,"44,65664209","4,756588244",M2 Gestion des Ressources Humaines parcours Management international et RH,Privé
2017-2019,M MISRH 1A,04/09/2017,30/09/2019,POINT P MBM,,SAS,,#N/A,#N/A,M2 Gestion des Ressources Humaines parcours Management international et RH,Privé
2017-2019,M MISRH 1A,01/10/2017,30/09/2019,CONSEIL DEPARTEMENTAL DE L'HERAULT,34070,Collectivité Territoriale,MONTPELLIER,"43,61344091","3,868516579",M2 Gestion des Ressources Humaines parcours Management international et RH,Public
2017-2019,M MISRH 1A,04/09/2017,30/09/2019,SNCF RESEAU,34070,SA,MONTPELLIER,"43,61344091","3,868516579",M2 Gestion des Ressources Humaines parcours Management international et RH,Privé
2016-2018,M MISRH 2A,26/09/2016,05/10/2018,SAS URBANIS,30900,SAS,NIMES,"43,84493839","4,34806797",M1 Gestion des Ressources Humaines parcours Management international et RH,Privé
2017-2018,M MISRH 2A,28/08/2017,27/09/2018,IPSIDE,31100,SAS,TOULOUSE,"43,59638143","1,431672934",M1 Gestion des Ressources Humaines parcours Management international et RH,Privé
2017-2018,M MISRH 2A,23/09/2017,30/09/2018,ATOS MANAGEMENT FRANCE,95870,SAS,BEZONS,"48,92598101","2,211333878",M1 Gestion des Ressources Humaines parcours Management international et RH,Privé
2016-2018,M MISRH 2A,01/07/2016,05/10/2018,TML EXPERTS CONSEILS,30900,SARL,NIMES,"43,84493839","4,34806797",M1 Gestion des Ressources Humaines parcours Management international et RH,Privé
2016-2018,M MISRH 2A,12/09/2016,05/10/2018,EDF-CNPE CRUAS-MEYSSE,7350,SA,CRUAS,"44,65664209","4,756588244",M1 Gestion des Ressources Humaines parcours Management international et RH,Privé
2016-2018,M MISRH 2A,12/09/2016,05/10/2018,EDF-CNPE CRUAS-MEYSSE,7350,SA,CRUAS,"44,65664209","4,756588244",M1 Gestion des Ressources Humaines parcours Management international et RH,Privé
2017-2018,M MISRH 2A,01/08/2017,12/10/2018,TAM,34075,SA ,MONTPELLIER,"43,33115899","2,70406695",M1 Gestion des Ressources Humaines parcours Management international et RH, 
2017-2018,M MISRH 2A,20/09/2017,28/09/2018,CMA CGM,13002,,MARSEILLE 2E,"43,31269642","5,363649833",M1 Gestion des Ressources Humaines parcours Management international et RH, 
2016-2018,M MISRH 2A,01/09/2016,05/10/2018,COLAS MM,34430,,SAINT JEAN DE VEDAS,"43,57162823","3,83221848",M1 Gestion des Ressources Humaines parcours Management international et RH, 
2017-2018,M2 CNO,16/10/2017,28/09/2018,ONISEP DELEGATION LR,34064,EPA,MONTPELLIER CEDEX 2,"43,87168909","3,31157474",M2 Information-Communication parcours Communication numérique et organisations,Public
2017-2018,M2 CNO,21/08/2017,31/08/2018,CREAVEA,34740,SARL,VENDARGUES,"43,66104575","3,962830331",M2 Information-Communication parcours Communication numérique et organisations,Privé
2017-2018,M2 CNO,25/09/2017,28/09/2018,RECTORAT DE MONTPELLIER,34000,Administration d'Etat,MONTPELLIER,"43,61344091","3,868516579",M2 Information-Communication parcours Communication numérique et organisations,Public
2017-2018,M2 CNO,02/10/2017,28/09/2018,PREFECTURE DU GARD,30900,Administration d'Etat,NIMES,"43,84493839","4,34806797",M2 Information-Communication parcours Communication numérique et organisations,Public
2017-2018,M2 CNO,04/09/2017,28/09/2018,NETHEOS,34000,SAS,MONTPELLIER,"43,61344091","3,868516579",M2 Information-Communication parcours Communication numérique et organisations,Privé
2017-2018,M2 CNO,01/08/2017,28/09/2018,INNO'VO,34370,SAS,MAUREILHAN,"43,39763101","3,099684083",M2 Information-Communication parcours Communication numérique et organisations,Privé
2017-2018,M2 CNO,16/10/2017,28/09/2018,COMUE LR-UNIVIVERSITÉ,34197,"Etablissement Public National scientifique, culturel et professionnel",MONTPELLIER CEDEX 85,"43,57492509","3,398317704",M2 Information-Communication parcours Communication numérique et organisations, 
2017-2018,M2 CNO,28/08/2017,28/09/2018,PREFECTURE DE L'HERAULT,34070,Administration d'Etat,MONTPELLIER,"43,61344091","3,868516579",M2 Information-Communication parcours Communication numérique et organisations,Public
2017-2018,M2 COMPAC,02/10/2017,28/09/2018,PREFECTURE DES PYRENEES ORIENTALES,66100,Administration d'Etat,PERPIGNAN,"42,69659541","2,89936954","M2 Information-Communication parcours Communication publique, associative et culturelle",Public
2017-2018,M2 COMPAC,27/11/2017,28/09/2018,SSM RESTAURATION,66000,SARL,PERPIGNAN,"42,69659541","2,89936954","M2 Information-Communication parcours Communication publique, associative et culturelle",Privé
2017-2018,M2 COMPAC,04/09/2017,28/09/2018,MAIRIE DE NARBONNE,11100,Administration d'Etat,NARBONNE,"43,11764167","2,97718129","M2 Information-Communication parcours Communication publique, associative et culturelle",Public
2017-2018,M2 COMPAC,01/09/2017,28/09/2018,SOURDOREILLE PRODUCTION,93400,SARL,SAINT OUEN,"48,90980658","2,332570422","M2 Information-Communication parcours Communication publique, associative et culturelle",Privé
2017-2018,M2 COMPAC,04/09/2017,28/09/2018,BIOVIVA EDITIONS,34000,SARL,MONTPELLIER,"43,61344091","3,868516579","M2 Information-Communication parcours Communication publique, associative et culturelle",Privé
2017-2018,M2 COMPAC,01/09/2017,31/08/2018,BORDEAUX METROPOLE,33000,Etablissement public,BORDEAUX,"44,85724454","-0,5736967812","M2 Information-Communication parcours Communication publique, associative et culturelle",Public
2017-2018,M2 COMPAC,04/09/2017,28/09/2018,CAPITOLE STUDIOS,84130,SA,LE PONTET,"43,96839035","4,865495908","M2 Information-Communication parcours Communication publique, associative et culturelle",Privé
2017-2018,M2 COMPAC,02/10/2017,28/09/2018,DEPARTEMENT DE L'AUDE,11000,Collectivité Territoriale,CARCASSONNE,"43,21409862","2,407732717","M2 Information-Communication parcours Communication publique, associative et culturelle",Public
2017-2018,M2 COMPAC,04/09/2017,30/09/2018,MONTPELLIER DANSE,34960,Association,MONTPELLIER,#N/A,#N/A,"M2 Information-Communication parcours Communication publique, associative et culturelle",Association
2017-2018,M2 COMPAC,04/09/2017,12/10/2018,ENEDIS,34070,ERL,MONTPELLIER,"43,61344091","3,868516579","M2 Information-Communication parcours Communication publique, associative et culturelle", 
2017-2018,M2 COMPAC,04/09/2017,28/09/2018,PREFECTURE DE L'HERAULT,34070,Administration d'Etat,MONTPELLIER,"43,61344091","3,868516579","M2 Information-Communication parcours Communication publique, associative et culturelle",Public
2017-2018,M2 COMPAC,01/10/2017,30/09/2018,PAYS DE L'OR AGGLOMERATION,34130,Commune et Commune Nouvelle,MAUGUIO,"43,61843365","4,063979436","M2 Information-Communication parcours Communication publique, associative et culturelle",Public
2017-2018,M2 CPO,16/10/2017,31/10/2018,CAISSE DES DEPOTS ET CONSIGNATIONS,33059,Etablissement public,BORDEAUX,"44,77732526","-0,2549972619",M2 Information-Communication parcours changement organisationnel et personnel ,Public
2017-2018,M2 CPO,04/09/2017,28/09/2018,GRID SOLUTIONS,34070,SAS,MONTPELLIER,"43,61344091","3,868516579",M2 Information-Communication parcours changement organisationnel et personnel ,Privé
2017-2018,M2 GIMD,11/09/2017,28/09/2018,ENSAM,34070,Etablissement public,MONTPELLIER,"43,61344091","3,868516579",M2 Information-Documentation parcours gestion de l'information et mediation documentaire : métiers des bibliothèques et de la documentation (GIMD) ,Public
2017-2018,M2 GIMD,01/09/2017,30/09/2018,MINISTERE DE LA CULTURE,75033,Administration d'Etat,PARIS CEDEX 01,#N/A,#N/A,M2 Information-Documentation parcours gestion de l'information et mediation documentaire : métiers des bibliothèques et de la documentation (GIMD) ,Public
2017-2018,M2 GIMD,01/11/2017,28/09/2018,MONTPELLIER SUPAGRO,34000,EPA,MONTPELLIER,"43,61344091","3,868516579",M2 Information-Documentation parcours gestion de l'information et mediation documentaire : métiers des bibliothèques et de la documentation (GIMD) ,Public
2017-2018,M2 GIMD,01/09/2017,28/09/2018,ADECCO,34430,SASU,SAINT JEAN DE VEDAS,"43,57162823","3,83221848",M2 Information-Documentation parcours gestion de l'information et mediation documentaire : métiers des bibliothèques et de la documentation (GIMD) , 
2017-2018,M2 HUMANUM,01/12/2017,27/11/2018,AFPA ENTREPRISES,93100,EPIC,MONTREUIL,"48,86331751","2,448162119",M2 Humanités Numériques,Public
2017-2018,M2 HUMANUM,04/07/2017,31/10/2018,ETUDES ET CHANTIERS,35000,Association,RENNES,"48,11197912","-1,681864491",M2 Humanités Numériques,Association
2017-2018,M2 HUMANUM,01/09/2017,28/09/2018,TRALALERE,75003,SAS,PARIS 3E,"48,86305413","2,359361059",M2 Humanités Numériques,Privé
2017-2018,M2 MAVINUM,21/09/2017,21/09/2018,PIERRE FABRE,81106,SA,CASTRES CEDEX,"43,849982","1,64948464","M2 Information-Documentation parcours management et valorisation de l'information de l'information numérique : métiers de la données, de l'information numérique (MAVINUM)",Privé
2017-2018,M2 MAVINUM,01/10/2017,30/09/2018,CONSEIL DEPARTEMENTAL DE L'HERAULT,34070,Collectivité Territoriale,MONTPELLIER,"43,61344091","3,868516579","M2 Information-Documentation parcours management et valorisation de l'information de l'information numérique : métiers de la données, de l'information numérique (MAVINUM)",Public
2017-2018,M2 PTO,07/11/2017,06/11/2018,CENTRE HOSPITALIER DE MENDE,48000,Administration d'Etat,MENDE,"44,53990342","3,554042836",M2 Psychologie sociale du travail et des organisations ,Public
2017-2018,M2 PTO,11/09/2017,07/09/2018,ECLIPSE ISTEC,34000,SAS,MONTPELLIER,"43,61344091","3,868516579",M2 Psychologie sociale du travail et des organisations ,Privé
2017-2018,M2 PTO,11/09/2017,10/09/2018,LA POSTE CENTRE FINANCIER,34000,SA CA,MONTPELLIER,"43,61344091","3,868516579",M2 Psychologie sociale du travail et des organisations ,Privé
2017-2018,M2 PTO,04/09/2017,31/08/2018,BNP PARIBAS SECURITIES SERVICES,93500,SCA,PANTIN,"48,89830939","2,408721475",M2 Psychologie sociale du travail et des organisations ,Privé
2017-2018,M2 PTO,11/12/2017,28/09/2018,M-PEARL,6600,SASU,ANTIBES,"43,58746515","7,106354183",M2 Psychologie sociale du travail et des organisations , 
2018-2019,DUT SAP,03/09/2018,30/08/2020,A2MICILE - AZAE NARBONNE,11200,SARL,LEZIGNAN CORBIERES,"43,24583407","2,770623578",DUT Carrières Sociales option Services à la personne,Privé
2018-2019,LP RDN,03/09/2018,31/07/2019,OCCITANIE LIVRE & LECTURE,31000,Association,TOULOUSE,"43,59638143","1,431672934",Licence professionnelle RDN,Association
2018-2019,LP RDN,03/09/2018,30/08/2019,CNRS UMR5138 ARCHEOMETRIE ET ARCHEOLOG,69007, ,LYON 07,"45,73340984","4,837584957",Licence professionnelle RDN, 
2018-2019,LP RDN,01/09/2018,31/08/2019,CNRS MOY1100 ALPES,38042, ,GRENOBLE,"45,39351941","5,392599171",Licence professionnelle RDN, 
2018-2020,M IDS ESSAP 1A,06/11/2018,25/09/2020,PLATE FORME CREATION D'ACTIVITE DEP 34,34080,Association,MONTPELLIER,"43,61344091","3,868516579",M1 Intervention et développement social parcours ESSAP,Association
2018-2020,M IDS ESSAP 1A,17/09/2018,30/09/2020,CONSEIL DEPARTEMENTAL DE L'HERAULT,34070,Collectivité Territoriale,MONTPELLIER,"43,61344091","3,868516579",M1 Intervention et développement social parcours ESSAP,Public
2018-2019,M IDS ESSAP 2A,01/10/2018,27/09/2019,ADVAH,34080,Association,MONTPELLIER,"43,61344091","3,868516579",M2 Intervention et développement social parcours ESSAP,Association
2018-2020,M IDS PIDT 1A,17/09/2018,30/09/2020,APPRENTIS D'AUTEUIL - IMPACT JEUNES,75016,Fondation,PARIS,"48,86039876","2,262099559",M1 Intervention et développement social parcours PIDT, 
